,Id aluno,Idade,Concelho,Sexo,Matematica,Estatistica,Portugues,Ingles,Local do exame,Tipo de escola,Trabalhador estudante,Estado civil,Media,Aprovado
76,A0077,42,Lisboa,Feminino,3,9,7,11,Escola D,Publica,Sim,Solteiro,7.5,False
77,A0078,58,Braga,Feminino,5,19,11,0,Escola D,Publica,Nao,Outro,8.75,False
78,A0079,46,Faro,Feminino,13,14,0,18,Escola D,Publica,Nao,Outro,11.25,True
79,A0080,32,Lisboa,Masculino,18,17,10,19,Escola A,Publica,Sim,Casado,16.0,True
80,A0081,18,Lisboa,Masculino,8,19,7,16,Escola C,Privada,Nao,Casado,12.5,True
81,A0082,42,Faro,Feminino,11,12,9,4,Escola D,Publica,Sim,Outro,9.0,False
82,A0083,24,Coimbra,Masculino,10,7,18,2,Escola B,Publica,Nao,Casado,9.25,False
83,A0084,26,Porto,Masculino,13,8,10,1,Escola D,Privada,Nao,Outro,8.0,False
84,A0085,41,Braga,Feminino,15,15,6,2,Escola A,Publica,Sim,Outro,9.5,False
85,A0086,18,Porto,Masculino,0,18,10,7,Escola C,Publica,Nao,Solteiro,8.75,False
86,A0087,25,Faro,Masculino,12,15,16,15,Escola A,Privada,Nao,Casado,14.5,True
87,A0088,41,Lisboa,Feminino,20,6,0,5,Escola A,Publica,Nao,Casado,7.75,False
88,A0089,28,Lisboa,Masculino,20,13,20,12,Escola A,Privada,Nao,Casado,16.25,True
89,A0090,34,Braga,Masculino,12,13,20,15,Escola B,Publica,Nao,Solteiro,15.0,True
90,A0091,25,Lisboa,Feminino,1,3,7,15,Escola C,Publica,Nao,Solteiro,6.5,False
91,A0092,52,Lisboa,Masculino,3,14,5,2,Escola C,Publica,Nao,Solteiro,6.0,False
92,A0093,52,Braga,Masculino,5,2,17,12,Escola B,Privada,Nao,Casado,9.0,False
93,A0094,50,Braga,Feminino,4,4,5,13,Escola C,Privada,Sim,Casado,6.5,False
94,A0095,22,Faro,Feminino,2,0,4,7,Escola A,Privada,Sim,Casado,3.25,False
95,A0096,59,Lisboa,Feminino,0,2,12,11,Escola C,Privada,Nao,Solteiro,6.25,False
96,A0097,56,Lisboa,Masculino,3,14,18,20,Escola B,Publica,Nao,Solteiro,13.75,True
97,A0098,58,Faro,Feminino,19,7,7,7,Escola A,Privada,Sim,Outro,10.0,True
98,A0099,45,Coimbra,Masculino,1,3,8,20,Escola B,Privada,Nao,Solteiro,8.0,False
99,A0100,24,Coimbra,Feminino,4,1,16,8,Escola D,Privada,Sim,Outro,7.25,False
100,A0101,26,Coimbra,Masculino,2,9,2,0,Escola A,Publica,Sim,Casado,3.25,False
101,A0102,25,Faro,Feminino,8,3,18,5,Escola A,Publica,Sim,Solteiro,8.5,False
102,A0103,29,Lisboa,Feminino,19,2,10,18,Escola C,Privada,Nao,Casado,12.25,True
103,A0104,51,Faro,Feminino,5,1,16,10,Escola A,Privada,Nao,Casado,8.0,False
104,A0105,50,Faro,Feminino,17,16,20,10,Escola B,Publica,Nao,Casado,15.75,True
105,A0106,40,Coimbra,Masculino,5,20,18,12,Escola C,Privada,Sim,Casado,13.75,True
106,A0107,41,Porto,Feminino,18,19,1,10,Escola D,Privada,Sim,Solteiro,12.0,True
107,A0108,54,Lisboa,Feminino,11,12,7,17,Escola B,Privada,Sim,Casado,11.75,True
108,A0109,52,Coimbra,Masculino,10,4,18,14,Escola D,Privada,Nao,Outro,11.5,True
109,A0110,57,Porto,Feminino,1,20,6,0,Escola D,Publica,Sim,Solteiro,6.75,False
110,A0111,39,Porto,Masculino,14,8,16,20,Escola D,Publica,Sim,Casado,14.5,True
111,A0112,44,Braga,Feminino,11,5,5,6,Escola A,Publica,Nao,Solteiro,6.75,False
112,A0113,52,Lisboa,Feminino,11,4,18,12,Escola B,Privada,Sim,Outro,11.25,True
113,A0114,18,Porto,Feminino,8,9,5,11,Escola B,Privada,Sim,Casado,8.25,False
114,A0115,52,Coimbra,Masculino,20,7,1,17,Escola A,Publica,Nao,Outro,11.25,True
115,A0116,54,Braga,Feminino,1,6,5,18,Escola C,Publica,Nao,Casado,7.5,False
116,A0117,31,Lisboa,Feminino,2,6,4,14,Escola D,Publica,Sim,Outro,6.5,False
117,A0118,20,Faro,Feminino,11,5,18,7,Escola B,Privada,Nao,Casado,10.25,True
118,A0119,18,Coimbra,Masculino,15,20,19,18,Escola A,Publica,Sim,Solteiro,18.0,True
119,A0120,22,Porto,Masculino,20,19,3,9,Escola D,Privada,Nao,Casado,12.75,True
120,A0121,43,Porto,Feminino,0,2,16,6,Escola C,Privada,Sim,Solteiro,6.0,False
121,A0122,31,Coimbra,Masculino,20,18,10,17,Escola C,Publica,Nao,Casado,16.25,True
122,A0123,56,Porto,Feminino,2,14,3,15,Escola D,Publica,Sim,Casado,8.5,False
123,A0124,44,Braga,Feminino,19,3,12,19,Escola C,Privada,Nao,Outro,13.25,True
124,A0125,26,Lisboa,Feminino,1,11,19,5,Escola B,Publica,Nao,Outro,9.0,False
125,A0126,32,Braga,Feminino,8,5,16,8,Escola B,Publica,Nao,Outro,9.25,False
126,A0127,32,Porto,Feminino,18,18,8,20,Escola B,Privada,Nao,Casado,16.0,True
127,A0128,43,Faro,Feminino,14,3,3,12,Escola C,Privada,Nao,Casado,8.0,False
128,A0129,59,Lisboa,Feminino,17,14,13,20,Escola B,Privada,Nao,Casado,16.0,True
129,A0130,30,Lisboa,Masculino,10,8,18,7,Escola A,Privada,Nao,Solteiro,10.75,True
130,A0131,49,Coimbra,Masculino,15,4,2,15,Escola B,Privada,Sim,Solteiro,9.0,False
131,A0132,56,Coimbra,Masculino,16,12,13,12,Escola B,Publica,Sim,Casado,13.25,True
132,A0133,49,Faro,Masculino,4,17,7,12,Escola C,Privada,Nao,Outro,10.0,True
133,A0134,21,Lisboa,Masculino,11,4,0,16,Escola B,Privada,Nao,Outro,7.75,False
134,A0135,47,Faro,Masculino,10,15,9,19,Escola D,Privada,Sim,Outro,13.25,True
135,A0136,54,Coimbra,Masculino,14,18,17,4,Escola A,Publica,Sim,Casado,13.25,True
136,A0137,40,Coimbra,Feminino,2,13,15,20,Escola C,Privada,Nao,Outro,12.5,True
137,A0138,56,Lisboa,Feminino,0,15,7,16,Escola A,Privada,Sim,Casado,9.5,False
138,A0139,32,Braga,Feminino,19,14,0,8,Escola D,Privada,Sim,Solteiro,10.25,True
139,A0140,46,Porto,Feminino,15,3,11,1,Escola C,Publica,Nao,Outro,7.5,False
140,A0141,53,Coimbra,Masculino,1,6,7,17,Escola C,Privada,Nao,Solteiro,7.75,False
141,A0142,30,Coimbra,Masculino,1,15,15,8,Escola B,Privada,Nao,Outro,9.75,False
142,A0143,49,Braga,Feminino,2,20,17,5,Escola A,Privada,Sim,Casado,11.0,True
143,A0144,24,Braga,Feminino,7,20,3,10,Escola D,Publica,Nao,Casado,10.0,True
144,A0145,39,Faro,Masculino,14,7,5,5,Escola D,Publica,Nao,Casado,7.75,False
145,A0146,45,Faro,Feminino,6,16,11,5,Escola C,Publica,Sim,Casado,9.5,False
146,A0147,19,Porto,Feminino,5,15,8,12,Escola B,Publica,Nao,Outro,10.0,True
147,A0148,59,Porto,Feminino,8,9,14,10,Escola C,Privada,Sim,Solteiro,10.25,True
148,A0149,23,Lisboa,Feminino,19,9,15,13,Escola C,Privada,Sim,Casado,14.0,True
149,A0150,45,Faro,Masculino,0,1,11,1,Escola C,Publica,Sim,Outro,3.25,False
150,A0151,45,Coimbra,Feminino,7,8,13,7,Escola C,Publica,Sim,Solteiro,8.75,False
151,A0152,37,Faro,Feminino,2,16,12,2,Escola D,Privada,Sim,Casado,8.0,False
152,A0153,47,Coimbra,Masculino,3,10,1,20,Escola D,Privada,Sim,Solteiro,8.5,False
153,A0154,28,Braga,Masculino,14,9,2,2,Escola C,Publica,Nao,Casado,6.75,False
154,A0155,45,Faro,Feminino,5,16,9,0,Escola C,Publica,Nao,Solteiro,7.5,False
155,A0156,42,Braga,Masculino,14,3,8,18,Escola B,Publica,Nao,Solteiro,10.75,True
156,A0157,56,Porto,Feminino,20,15,19,17,Escola C,Publica,Sim,Casado,17.75,True
157,A0158,50,Porto,Feminino,2,19,7,16,Escola D,Privada,Nao,Outro,11.0,True
158,A0159,18,Lisboa,Masculino,20,14,9,19,Escola A,Publica,Sim,Solteiro,15.5,True
159,A0160,44,Faro,Feminino,20,20,18,12,Escola D,Publica,Nao,Casado,17.5,True
160,A0161,30,Braga,Feminino,13,4,2,2,Escola B,Privada,Sim,Solteiro,5.25,False
161,A0162,58,Coimbra,Feminino,19,5,4,0,Escola D,Privada,Nao,Solteiro,7.0,False
162,A0163,20,Porto,Feminino,13,16,2,3,Escola A,Privada,Sim,Outro,8.5,False
163,A0164,56,Porto,Masculino,3,0,15,12,Escola C,Privada,Nao,Solteiro,7.5,False
164,A0165,23,Coimbra,Masculino,11,18,16,16,Escola A,Privada,Sim,Solteiro,15.25,True
165,A0166,25,Braga,Feminino,16,3,14,10,Escola C,Publica,Nao,Casado,10.75,True
166,A0167,44,Braga,Masculino,6,16,2,1,Escola C,Publica,Sim,Casado,6.25,False
167,A0168,26,Faro,Feminino,8,8,11,15,Escola D,Publica,Nao,Outro,10.5,True
168,A0169,54,Faro,Feminino,2,1,8,1,Escola D,Privada,Nao,Solteiro,3.0,False
169,A0170,50,Lisboa,Feminino,12,7,20,18,Escola D,Publica,Nao,Solteiro,14.25,True
170,A0171,59,Porto,Feminino,14,14,11,18,Escola B,Privada,Sim,Solteiro,14.25,True
171,A0172,41,Faro,Feminino,17,6,14,15,Escola D,Publica,Sim,Outro,13.0,True
172,A0173,32,Braga,Masculino,18,5,1,18,Escola B,Publica,Sim,Solteiro,10.5,True
173,A0174,49,Coimbra,Feminino,0,0,17,8,Escola D,Privada,Sim,Casado,6.25,False
174,A0175,49,Braga,Masculino,5,14,19,0,Escola C,Privada,Sim,Outro,9.5,False
175,A0176,41,Porto,Masculino,1,6,11,9,Escola B,Publica,Nao,Casado,6.75,False
176,A0177,58,Braga,Feminino,13,16,3,18,Escola A,Publica,Sim,Casado,12.5,True
177,A0178,29,Lisboa,Feminino,5,1,15,0,Escola B,Publica,Nao,Outro,5.25,False
178,A0179,56,Porto,Feminino,13,8,15,1,Escola B,Publica,Nao,Casado,9.25,False
179,A0180,19,Coimbra,Feminino,3,8,0,15,Escola A,Publica,Sim,Solteiro,6.5,False
180,A0181,20,Lisboa,Feminino,20,12,1,11,Escola B,Privada,Nao,Outro,11.0,True
181,A0182,54,Porto,Masculino,7,5,2,7,Escola C,Privada,Sim,Casado,5.25,False
182,A0183,34,Coimbra,Feminino,2,5,20,17,Escola D,Privada,Sim,Solteiro,11.0,True
183,A0184,19,Lisboa,Feminino,18,19,19,1,Escola A,Privada,Sim,Solteiro,14.25,True
184,A0185,19,Lisboa,Masculino,13,19,16,12,Escola D,Publica,Nao,Casado,15.0,True
185,A0186,45,Porto,Masculino,19,20,19,5,Escola C,Publica,Sim,Solteiro,15.75,True
186,A0187,40,Faro,Feminino,16,2,20,20,Escola A,Privada,Sim,Outro,14.5,True
187,A0188,54,Lisboa,Masculino,7,16,0,5,Escola D,Publica,Sim,Casado,7.0,False
188,A0189,49,Lisboa,Feminino,13,16,19,8,Escola D,Privada,Nao,Solteiro,14.0,True
189,A0190,50,Coimbra,Masculino,5,11,5,15,Escola C,Publica,Sim,Solteiro,9.0,False
190,A0191,18,Braga,Masculino,15,15,14,10,Escola D,Publica,Nao,Casado,13.5,True
191,A0192,36,Porto,Feminino,18,14,13,6,Escola C,Publica,Nao,Casado,12.75,True
192,A0193,19,Porto,Masculino,13,12,19,9,Escola B,Privada,Sim,Casado,13.25,True
193,A0194,43,Faro,Masculino,18,0,14,9,Escola C,Privada,Nao,Casado,10.25,True
194,A0195,49,Faro,Masculino,2,16,13,19,Escola B,Privada,Nao,Outro,12.5,True
195,A0196,23,Porto,Masculino,9,2,20,17,Escola A,Privada,Sim,Casado,12.0,True
196,A0197,49,Faro,Masculino,18,14,4,19,Escola D,Publica,Sim,Outro,13.75,True
197,A0198,21,Coimbra,Masculino,8,3,5,8,Escola C,Publica,Sim,Outro,6.0,False
198,A0199,28,Porto,Feminino,19,3,16,14,Escola C,Publica,Nao,Casado,13.0,True
199,A0200,34,Faro,Feminino,12,17,10,3,Escola D,Publica,Sim,Outro,10.5,True
200,A0201,55,Porto,Masculino,6,16,15,7,Escola D,Privada,Nao,Casado,11.0,True
201,A0202,41,Braga,Feminino,13,18,11,8,Escola A,Publica,Nao,Casado,12.5,True
202,A0203,22,Lisboa,Feminino,8,10,14,12,Escola A,Publica,Nao,Solteiro,11.0,True
203,A0204,51,Porto,Feminino,18,19,3,8,Escola C,Publica,Nao,Casado,12.0,True
204,A0205,23,Lisboa,Masculino,14,2,17,3,Escola A,Privada,Nao,Solteiro,9.0,False
205,A0206,39,Faro,Feminino,19,7,20,16,Escola B,Privada,Sim,Outro,15.5,True
206,A0207,28,Lisboa,Masculino,13,13,2,15,Escola A,Privada,Sim,Solteiro,10.75,True
207,A0208,33,Porto,Feminino,5,0,7,14,Escola A,Publica,Nao,Outro,6.5,False
208,A0209,50,Braga,Masculino,20,13,2,2,Escola C,Privada,Nao,Casado,9.25,False
209,A0210,26,Faro,Masculino,3,1,7,19,Escola B,Publica,Sim,Outro,7.5,False
210,A0211,23,Porto,Feminino,7,3,17,4,Escola A,Publica,Sim,Outro,7.75,False
211,A0212,33,Faro,Feminino,16,18,9,4,Escola B,Publica,Nao,Casado,11.75,True
212,A0213,46,Coimbra,Masculino,8,5,19,19,Escola B,Privada,Nao,Outro,12.75,True
213,A0214,20,Lisboa,Feminino,0,0,16,14,Escola B,Privada,Sim,Casado,7.5,False
214,A0215,37,Coimbra,Feminino,19,16,7,17,Escola D,Publica,Sim,Solteiro,14.75,True
215,A0216,53,Porto,Feminino,13,7,10,14,Escola D,Publica,Nao,Casado,11.0,True
216,A0217,36,Braga,Masculino,10,18,4,1,Escola D,Privada,Sim,Casado,8.25,False
217,A0218,43,Faro,Masculino,20,20,12,12,Escola D,Privada,Sim,Outro,16.0,True
218,A0219,20,Lisboa,Feminino,2,0,20,3,Escola C,Privada,Nao,Solteiro,6.25,False
219,A0220,36,Faro,Feminino,8,4,4,9,Escola A,Publica,Nao,Casado,6.25,False
220,A0221,37,Porto,Feminino,13,15,12,12,Escola D,Publica,Nao,Solteiro,13.0,True
221,A0222,49,Faro,Masculino,8,5,5,9,Escola C,Publica,Sim,Solteiro,6.75,False
222,A0223,24,Lisboa,Masculino,3,7,4,8,Escola A,Privada,Nao,Outro,5.5,False
223,A0224,58,Porto,Feminino,3,12,8,7,Escola D,Privada,Sim,Casado,7.5,False
224,A0225,50,Faro,Feminino,7,15,15,2,Escola A,Privada,Nao,Outro,9.75,False
225,A0226,57,Braga,Feminino,1,2,1,15,Escola D,Publica,Nao,Casado,4.75,False
226,A0227,56,Porto,Feminino,8,18,0,13,Escola C,Publica,Sim,Solteiro,9.75,False
227,A0228,35,Porto,Feminino,13,11,7,8,Escola B,Privada,Sim,Casado,9.75,False
228,A0229,57,Braga,Feminino,8,15,18,20,Escola B,Publica,Nao,Casado,15.25,True
229,A0230,18,Coimbra,Masculino,15,10,10,10,Escola A,Privada,Nao,Solteiro,11.25,True
230,A0231,28,Lisboa,Feminino,16,9,11,2,Escola C,Publica,Sim,Solteiro,9.5,False
231,A0232,45,Coimbra,Masculino,15,19,11,4,Escola B,Privada,Nao,Casado,12.25,True
232,A0233,42,Faro,Feminino,11,3,6,9,Escola D,Publica,Sim,Outro,7.25,False
233,A0234,40,Braga,Feminino,2,11,12,12,Escola B,Publica,Sim,Casado,9.25,False
234,A0235,48,Coimbra,Masculino,10,1,7,3,Escola A,Privada,Nao,Solteiro,5.25,False
235,A0236,47,Porto,Masculino,13,18,8,12,Escola A,Privada,Sim,Outro,12.75,True
236,A0237,59,Faro,Masculino,17,4,6,11,Escola C,Privada,Sim,Solteiro,9.5,False
237,A0238,52,Faro,Masculino,20,7,20,4,Escola A,Privada,Sim,Solteiro,12.75,True
238,A0239,24,Coimbra,Feminino,20,6,14,9,Escola B,Privada,Nao,Outro,12.25,True
239,A0240,33,Coimbra,Masculino,4,13,1,8,Escola B,Publica,Sim,Solteiro,6.5,False
240,A0241,43,Braga,Feminino,15,2,19,19,Escola B,Privada,Nao,Solteiro,13.75,True
241,A0242,19,Lisboa,Masculino,19,17,11,6,Escola B,Privada,Nao,Solteiro,13.25,True
242,A0243,18,Coimbra,Feminino,4,15,0,1,Escola C,Privada,Nao,Solteiro,5.0,False
243,A0244,29,Coimbra,Feminino,2,18,7,6,Escola D,Publica,Sim,Solteiro,8.25,False
244,A0245,22,Porto,Feminino,11,18,4,7,Escola D,Privada,Sim,Solteiro,10.0,True
245,A0246,54,Faro,Feminino,0,17,14,6,Escola C,Privada,Nao,Solteiro,9.25,False
246,A0247,49,Lisboa,Feminino,20,19,0,20,Escola A,Privada,Nao,Solteiro,14.75,True
247,A0248,26,Porto,Feminino,8,15,0,13,Escola D,Publica,Sim,Solteiro,9.0,False
248,A0249,58,Braga,Masculino,8,7,9,18,Escola A,Publica,Nao,Casado,10.5,True
249,A0250,52,Braga,Feminino,3,0,9,4,Escola D,Privada,Nao,Casado,4.0,False
250,A0251,36,Coimbra,Masculino,2,16,20,17,Escola A,Publica,Sim,Solteiro,13.75,True
251,A0252,33,Coimbra,Masculino,16,11,14,19,Escola C,Privada,Nao,Casado,15.0,True
252,A0253,20,Braga,Feminino,1,20,16,11,Escola B,Publica,Sim,Outro,12.0,True
253,A0254,37,Coimbra,Masculino,0,10,5,16,Escola A,Privada,Sim,Casado,7.75,False
254,A0255,41,Lisboa,Feminino,7,4,2,12,Escola B,Publica,Nao,Solteiro,6.25,False
255,A0256,50,Coimbra,Masculino,12,11,12,1,Escola A,Privada,Sim,Solteiro,9.0,False
256,A0257,41,Faro,Feminino,14,16,15,12,Escola A,Privada,Sim,Casado,14.25,True
257,A0258,28,Coimbra,Masculino,7,5,7,6,Escola A,Publica,Sim,Solteiro,6.25,False
258,A0259,25,Porto,Feminino,11,0,14,9,Escola A,Privada,Nao,Outro,8.5,False
259,A0260,53,Lisboa,Feminino,11,4,16,5,Escola A,Privada,Nao,Outro,9.0,False
260,A0261,55,Porto,Feminino,13,13,16,2,Escola B,Privada,Nao,Solteiro,11.0,True
261,A0262,57,Porto,Feminino,14,4,12,2,Escola A,Privada,Sim,Outro,8.0,False
262,A0263,37,Faro,Masculino,14,0,16,17,Escola B,Publica,Sim,Outro,11.75,True
263,A0264,52,Lisboa,Feminino,8,17,5,10,Escola C,Privada,Nao,Casado,10.0,True
264,A0265,42,Lisboa,Masculino,18,15,16,19,Escola D,Publica,Nao,Outro,17.0,True
265,A0266,52,Lisboa,Masculino,19,8,15,4,Escola A,Publica,Sim,Casado,11.5,True
266,A0267,42,Lisboa,Masculino,7,18,13,18,Escola D,Publica,Nao,Solteiro,14.0,True
267,A0268,46,Lisboa,Feminino,20,4,12,18,Escola B,Publica,Nao,Casado,13.5,True
268,A0269,35,Faro,Masculino,18,1,5,14,Escola C,Privada,Nao,Solteiro,9.5,False
269,A0270,35,Coimbra,Masculino,5,14,2,15,Escola C,Privada,Nao,Solteiro,9.0,False
270,A0271,19,Porto,Masculino,19,6,13,8,Escola C,Publica,Nao,Solteiro,11.5,True
271,A0272,52,Lisboa,Feminino,18,3,13,3,Escola D,Privada,Sim,Solteiro,9.25,False
272,A0273,33,Coimbra,Feminino,3,0,14,14,Escola B,Publica,Nao,Solteiro,7.75,False
273,A0274,58,Coimbra,Masculino,6,12,7,11,Escola A,Privada,Nao,Casado,9.0,False
274,A0275,53,Porto,Feminino,3,19,14,2,Escola A,Privada,Sim,Solteiro,9.5,False
275,A0276,50,Faro,Feminino,11,6,12,13,Escola B,Privada,Sim,Outro,10.5,True
276,A0277,21,Braga,Masculino,12,14,16,16,Escola D,Publica,Sim,Outro,14.5,True
277,A0278,50,Braga,Masculino,2,13,20,18,Escola A,Publica,Sim,Solteiro,13.25,True
278,A0279,31,Coimbra,Feminino,11,18,2,5,Escola B,Privada,Nao,Outro,9.0,False
